id,year,date,division,bracket,home_team,away_team,status,notes
cmmbe5j9100b6hxpha4akarmp,2025,2025-07-12,Maroon,MP,"Class 2007","Class 08/09",scheduled,needs_result
cmmbe5k1e00bchxphqp2yhx2u,2025,2025-07-12,Platinum,PP,"Class 75","Class 1988",scheduled,needs_result
cmmbe5ksd00bihxph3o4g3cs7,2025,2025-07-12,Maroon,MP,"Class 2025","Class 2022",scheduled,needs_result
cmmbe5lli00bohxphyihoqbyt,2025,2025-07-12,Maroon,MP,"Class 18/19","Class 2023",scheduled,needs_result
cmmbe5mcm00buhxphe9p0i2zn,2025,2025-07-12,Platinum,PP,"Class 1989","Class 84/85",scheduled,needs_result
cmmbe5nal00c0hxphh0uv7ajb,2025,2025-07-12,Maroon,MP,"Class 12 Pack","Class 2021",scheduled,needs_result
cmmbe5o2p00c6hxphfgpk4gj6,2025,2025-07-12,Maroon,MP,"Class 2013","Class 2015",scheduled,needs_result
cmmbe5oua00cchxphpwy0bo8u,2025,2025-07-13,Gold,GP,"Class 91","Class 430-5",scheduled,needs_result
cmmbe5plt00cihxphcwtezps0,2025,2025-07-13,Maroon,MP,"Class 2006","Class 2010",scheduled,needs_result
cmmbe5qem00cohxphhn01x0mx,2025,2025-07-13,Maroon,MP,"Class 02/04","Class WMP1",scheduled,needs_result
cmmbe5r5t00cuhxphmugv5pmu,2025,2025-07-13,Gold,GP,"Class 96/97/2000","Class 05",scheduled,needs_result
cmmbe5rwh00d0hxphwfa2s9n7,2025,2025-07-13,Maroon,MP,"Class WMP5","Class WMP4",scheduled,needs_result
cmmbe5so500d6hxphtgobrjbf,2025,2025-07-13,Maroon,MP,"Class WMP2","Class WMP3",scheduled,needs_result
cmmbe5tff00dchxphjutbh1sz,2025,2025-07-14,Platinum,PP,"Class 79/80","Class WPP1",scheduled,needs_result
cmmbe5u7000dihxphkpelkw5g,2025,2025-07-14,Maroon,MP,"Class WMP7","Class WMP8",scheduled,needs_result
cmmbe5uy200dohxphtwirad68,2025,2025-07-14,Maroon,MP,"Class WMP9","Class WMP6",scheduled,needs_result
cmmbe5vq200duhxph9zsc777z,2025,2025-07-15,Platinum,PP,"Class 82/86/AD7/92","Class WPP2",scheduled,needs_result
cmmbe5wkl00e0hxphb70rgf93,2025,2025-07-15,Gold,GP,"Class 99/01/03","Class WGP1",scheduled,needs_result
cmmbe5xbp00e6hxphs3ck1o3n,2025,2025-07-15,Gold,GP,"Class 98","Class WGP2",scheduled,needs_result
cmmbe5y4u00echxphishg9hdh,2025,2025-07-16,Maroon,MP,"Class WMP11","Class WMP12",scheduled,needs_result
cmmbe5z4100eihxphexerlhr6,2025,2025-07-16,Maroon,MP,"Class WMP10","Class WMP13",scheduled,needs_result
cmmbe5zv800eohxphlc8y6gjo,2025,2025-07-17,Special,TBD,"Class TBD","Class TBD",scheduled,needs_result
cmmbe60mx00euhxph0l39ifva,2025,2025-07-17,Platinum,PP,"Class WPP3","Class WPP4",scheduled,needs_result
cmmbe61f900f0hxphw9sufmxy,2025,2025-07-17,Gold,GP,"Class WGP3","Class WGP4",scheduled,needs_result
cmmbe627h00f6hxphazm4glpk,2025,2025-07-18,Special,FS,"Class FS","Class FS",scheduled,needs_result
cmmbe630v00fchxphf7a5kxzp,2025,2025-07-18,Gold,,"Class 95","Class 90",scheduled,needs_result
cmmbe63t400fihxph9u6yn00u,2025,2025-07-18,Maroon,MP,"Class WMP14","Class WMP15",scheduled,needs_result
