year,game_id,date,time,matchup,division,phase,bracket,venue,status
2025,cmmbe51xp007ihxphafjrd3px,2025-07-06,05:40,"Class 2015 vs Class 2016/17",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe52sd007ohxph277qiz4b,2025-07-06,06:50,"Class 05 vs Class 2010",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe53ly007uhxphsbyinqd1,2025-07-06,08:00,"Class 02/04 vs Class 2007",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe54d60080hxphe9r2cvv8,2025-07-06,09:10,"Class 12 Pack vs Class 2014",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe553q0086hxphux1l06o9,2025-07-06,10:20,"Class 2021 vs Class 2018/19",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe55uf008chxphnsbl577b,2025-07-07,08:00,"Class 430-5 vs Class 1991",Gold,Pool,,FD Jungle,scheduled
2025,cmmbe56la008ihxphif8zmr94,2025-07-07,09:10,"Class FS2 vs Class FS3",Special,Playoffs,FS,FD Jungle,scheduled
2025,cmmbe57du008ohxph62njs3di,2025-07-07,10:20,"Class 2020 vs Class 2022",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe5866008uhxphb9chlhea,2025-07-08,08:00,"Class 96/97 vs Class 98",Gold,Pool,,FD Jungle,scheduled
2025,cmmbe58wv0090hxphox7c8t39,2025-07-08,09:10,"Class 08/09 vs Class 2015",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe59o60096hxphv7a2ljim,2025-07-08,10:20,"Class 2007 vs Class 2010",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe5ag2009chxphtxib18o7,2025-07-09,08:00,"Class 60 FS vs Class 60S FS",Special,Pool,,FD Jungle,scheduled
2025,cmmbe5bde009ihxphdd4h0ty9,2025-07-09,09:10,"Class 75 vs Class 79/80",Gold,Pool,,FD Jungle,scheduled
2025,cmmbe5c4n009ohxphwgtsaqh1,2025-07-09,10:20,"Class 430-5 vs Class 99/01/03",Gold,Pool,,FD Jungle,scheduled
2025,cmmbe5cxe009uhxph0v4ov8yd,2025-07-10,08:00,"Class 84/85 vs Class 1988",Gold,Pool,,FD Jungle,scheduled
2025,cmmbe5dqg00a0hxphdeiaj40x,2025-07-10,09:10,"Class 82/86/AD7/92 vs Class 1989",Gold,Pool,,FD Jungle,scheduled
2025,cmmbe5ehq00a6hxphr0a09vw2,2025-07-10,10:20,"Class 2013 vs Class 2025",Maroon,Pool,,FD Jungle,final
2025,cmmbe5fcy00achxpho1cx2dgo,2025-07-11,08:00,"Class 1991 vs Class 99/01/03",Gold,Pool,,FD Jungle,scheduled
